bids,school
58,Kentucky[2]
50,North Carolina
48,Kansas
47,UCLA[3]
43,Duke
40,Syracuse[4][5]
39,Indiana
39,Louisville[6]
38,Villanova[7]
36,Notre Dame
34,Texas
33,Arizona[8]
33,Cincinnati
33,Marquette[9]
33,Michigan State
33,Temple
32,Arkansas
32,Connecticut[10]
32,Oklahoma
31,Kansas State
30,Georgetown
30,Illinois
30,Purdue[11]
29,BYU
29,Ohio State[12]
29,St. John's[13]
29,Utah
29,West Virginia
28,Oklahoma State
28,Xavier
27,Maryland[14]
26,Iowa
26,Missouri[15]
25,North Carolina State[16]
26,Pittsburgh
25,Princeton
25,Michigan[17]
24,Pennsylvania
24,Wisconsin
23,Virginia
23,Wake Forest
22,Gonzaga
22,LSU
22,New Mexico State[18]
22,Tennessee
22,Western Kentucky[19]
21,Creighton
21,Houston
21,Utah State
20,Alabama[20]
20,Florida[21]
20,Iowa State
20,Memphis[22]
20,Providence
20,Saint Joseph's[23]
20,UNLV
18,Boston College
18,California[24]
18,Dayton
18,DePaul[25]
17,Florida State
17,Miami (OH)
17,Murray State
17,Oregon
17,Southern California[26]
17,Stanford
17,UTEP
17,VCU
17,Washington
16,Butler
16,Georgia Tech
16,San Francisco
16,Texas Tech[27]
16,Tulsa
16,Weber State
15,Arizona State
15,New Mexico
15,UAB
15,Vanderbilt
15,Wichita State
15,Wyoming
14,Colorado
14,Davidson
14,Iona[28]
14,Oregon State[29]
14,Texas A&M
13,Holy Cross
13,Ohio
13,Old Dominion
13,Pepperdine
13,Seton Hall
12,Baylor
12,La Salle
12,Montana
12,San Diego State
12,SMU
11,Charlotte
11,Chattanooga
11,Clemson[30]
11,George Washington
11,Idaho State
11,Mississippi State
11,Navy
11,Oklahoma City
11,Santa Clara
11,Seattle
11,Virginia Tech
10,Auburn
10,Colorado State
10,East Tennessee State
10,Georgia[31]
10,Miami (FL)
10,Minnesota[32]
10,North Carolina A&T
10,Rhode Island
10,Saint Louis
10,Saint Mary's
10,Southern Illinois
10,Winthrop
9,Bradley
9,Middle Tennessee
9,Nevada
9,Northeastern
9,Mississippi
9,Pacific
9,Penn State
9,Richmond
9,South Carolina
9,Southern
9,Valparaiso
8,Belmont
8,Bucknell
8,Eastern Kentucky
8,Manhattan
8,Massachusetts[33]
8,Morehead State
8,Northern Iowa
8,Robert Morris
8,South Alabama
8,TCU
8,Texas Southern
7,Ball State
7,Boise State
7,Boston University
7,Dartmouth
7,LIU Brooklyn
7,Louisiana-Monroe
7,Nebraska
7,St. Bonaventure
7,Vermont
6,Alcorn State
6,Austin Peay[34]
6,Detroit
6,Fairleigh Dickinson
6,Furman
6,George Mason
6,Hampton
6,Illinois State
6,Kent State
6,Lamar
6,Long Beach State[35]
6,Louisiana-Lafayette[36]
6,Loyola-Chicago
6,Missouri State
6,NYU
6,Rutgers
6,Siena
6,UNC Wilmington
6,Washington State
5,Albany
5,Central Florida
5,Charleston
5,Cornell
5,Delaware
5,Duquesne
5,Evansville
5,Fresno State[37]
5,Georgia State
5,Green Bay
5,Harvard
5,Hawai_i
5,Jacksonville
5,James Madison
5,Lehigh
5,Little Rock
5,Louisiana Tech
5,Marshall[38]
5,Mississippi Valley State
5,Mount Saint Mary's
5,New Orleans
5,Oral Roberts
5,South Carolina State
5,South Dakota State
5,Stephen F. Austin
5,UC Santa Barbara
5,Wofford
5,Yale
4,Air Force
4,Akron
4,Alabama State
4,Bowling Green
4,Buffalo
4,Canisius
4,Central Michigan
4,Coastal Carolina
4,Coppin State
4,Drake
4,Drexel
4,Eastern Michigan
4,Fordham
4,Hofstra
4,Idaho
4,Indiana State
4,Lafayette
4,Liberty
4,Loyola Marymount[39]
4,Milwaukee
4,Monmouth
4,North Carolina Central
4,North Dakota State
4,Rice
4,San Diego
4,Toledo
4,UNC Asheville
4,UTSA
4,Western Michigan
3,American
3,Cal State Fullerton
3,Central Connecticut State
3,Colgate
3,Columbia
3,Fairfield
3,Florida A&M
3,Florida Gulf Coast
3,Georgia Southern
3,Jackson State
3,Loyola (LA)
3,Mercer
3,Montana State
3,Niagara
3,North Texas
3,Northern Illinois
3,Northwestern State
3,Oakland
3,Radford
3,Rider
3,Saint Peter's
3,San José State
3,South Florida
3,Southern Miss
3,Tulane
3,UIC
3,UNC Greensboro
3,VMI
3,Wright State
2,Appalachian State
2,Brown
2,Cal State Northridge
2,CCNY
2,Cleveland State
2,East Carolina
2,Eastern Illinois
2,Eastern Washington
2,Hardin-Simmons
2,Howard
2,Loyola (MD)
2,Marist
2,McNeese State
2,Morgan State
2,Nicholls State
2,Northern Arizona
2,Northern Kentucky
2,Portland
2,Portland State
2,Prairie View A&M
2,Sam Houston State
2,Samford
2,Tennessee State
2,Tennessee Tech
2,Texas State
2,Towson
2,Troy
2,UC Irvine
2,UMBC
1,Abilene Christian
1,Alabama A&M
1,Arkansas State
1,Binghamton
1,Cal Poly
1,Cal State Bakersfield
1,Cal State LA
1,Campbell
1,Catholic
1,Charleston Southern
1,Delaware State
1,Florida Atlantic
1,Florida International
1,Gardner–Webb
1,Houston Baptist
1,IUPUI
1,Jacksonville State
1,Lebanon Valley
1,Lipscomb
1,Norfolk State
1,North Dakota
1,North Florida
1,Northern Colorado
1,Northwestern
1,Saint Francis (PA)
1,Southeast Missouri State
1,Southeastern Louisiana
1,Southern Utah
1,Springfield
1,Stony Brook
1,Texas A&M-Corpus Christi
1,Texas-Arlington
1,Trinity
1,Tufts
1,UC Davis
1,Wagner
1,Wayne State (MI)
1,West Texas A&M
1,Western Carolina
1,Williams
