",,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals"
"Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF"
"1,Abilene Christian NCAA,34,27,7,.794,-1.86,-7.29,14,4,13,2,10,4,2502,2161,,1370,897,1911,.469,251,660,.380,457,642,.712,325,1110,523,297,93,407,635"
"2,Air Force,32,14,18,.438,-4.09,0.43,8,10,9,6,3,9,2179,2294,,1300,802,1777,.451,234,712,.329,341,503,.678,253,1077,434,154,57,423,543"
"3,Akron,33,17,16,.515,5.04,1.26,8,10,14,3,1,10,2271,2107,,1325,797,1948,.409,297,929,.320,380,539,.705,312,1204,399,185,106,388,569"
"4,Alabama A&M,32,5,27,.156,-19.33,-8.49,4,14,4,7,0,18,1938,2285,,1295,736,1807,.407,182,576,.316,284,453,.627,314,1025,384,234,49,487,587"
"5,Alabama-Birmingham,35,20,15,.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,,1410,906,2003,.452,234,694,.337,424,629,.674,367,1279,401,218,82,399,578"
"6,Alabama State,31,12,19,.387,-15.71,-7.95,9,9,8,3,3,13,2086,2235,,1250,712,1763,.404,216,674,.320,446,684,.652,365,1094,313,203,102,451,565"
"7,Alabama,34,18,16,.529,9.46,9.02,8,10,10,6,4,8,2448,2433,,1365,856,1945,.440,244,718,.340,492,739,.666,384,1286,418,157,160,465,572"
"8,Albany (NY),32,12,20,.375,-9.18,-6.50,7,9,6,8,6,10,2150,2216,,1300,728,1750,.416,274,790,.347,420,564,.745,294,1083,402,195,78,454,566"
"9,Alcorn State,31,10,21,.323,-22.21,-9.10,6,12,10,3,0,17,1995,2194,,1245,709,1721,.412,211,646,.327,366,543,.674,334,1079,391,229,107,492,548"
